"","SAMPLE_ID","basic_statistics","per_base_sequence_quality","per_tile_sequence_quality","per_sequence_quality_scores","per_base_sequence_content","per_sequence_gc_content","per_base_n_content","sequence_length_distribution","sequence_duplication_levels","overrepresented_sequences","adapter_content","kmer_content","SeqLength_R1","percentGC_R1","phred20.21_R1","phred48.49_R1","phred76.77_R1","phred100.101_R1","phredGT30_R1","phredGT35_R1","Adapter50.51_R1","Adapter70.71_R1","Adapter90_R1","SeqLength_R2","percentGC_R2","phred20.21_R2","phred48.49_R2","phred76.77_R2","phred100.101_R2","phredGT30_R2","phredGT35_R2","Adapter50.51_R2","Adapter70.71_R2","Adapter90_R2","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","bamFile","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Unmapped","gene_Unassigned_Read_Type","gene_Unassigned_Singleton","gene_Unassigned_MappingQuality","gene_Unassigned_Chimera","gene_Unassigned_FragmentLength","gene_Unassigned_Duplicate","gene_Unassigned_MultiMapping","gene_Unassigned_Secondary","gene_Unassigned_NonSplit","gene_Unassigned_NoFeatures","gene_Unassigned_Overlapping_Length","gene_Unassigned_Ambiguity","rRNA_rate","Adapter88.89_R1","Adapter88.89_R2","ERCCsumLogErr","gene_Unassigned_Nonjunction"
"R22127","R22127","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","FAIL","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0848284200591992,0.818238326353528,4.6357899805273,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0866377617579024,0.807080494169025,4.54556729174696,FALSE,148120170,129733857,18386313,0.8759,0.826,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22127_sorted.bam",147843186,2950346,0.0195654678345222,0.399831301528779,33920317,0,0,0,0,0,0,0,25122306,0,0,21779030,0,4014919,2.08134847324687e-05,NA,NA,NA,NA
"R22128","R22128","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0493710906771812,0.582024540294287,3.54762028729988,"101","47","41.0","41.0","41.0","41.0",NA,NA,0.0510045839122429,0.577348485567422,3.49781236943275,FALSE,124763296,111708925,13054371,0.8954,0.8488,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22128_sorted.bam",123489231,2306439,0.0183348043696576,0.468451790360543,31569451,0,0,0,0,0,0,0,14509225,0,0,17357176,0,3955183,1.3208972180099e-05,NA,NA,NA,NA
"R22129","R22129","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL/WARN","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0308766544634853,0.21044875491335,1.52180407167087,"101","47","41.0","41.0","41.0","41.0",NA,NA,0.0331666969001428,0.215143546742347,1.52584011784009,FALSE,122050140,111352467,10697673,0.9124,0.8758,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22129_sorted.bam",122535229,2322646,0.0186023188365171,0.512889379486776,34124006,0,0,0,0,0,0,0,13674437,0,0,14284658,0,4449776,8.93798928531427e-06,NA,NA,NA,NA
"R22130","R22130","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","WARN","PASS","NA","101","46","41.0","41.0","41.0","41.0",NA,NA,0.0361771313791685,0.144047470952494,0.909238136695584,"101","47","41.0","41.0","41.0","41.0",NA,NA,0.0394647974199088,0.15067082152532,0.915815069393443,FALSE,124951864,114907388,10044476,0.9196,0.885,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22130_sorted.bam",124621708,1778459,0.0140700684359064,0.503988381039427,33775621,0,0,0,0,0,0,0,11717180,0,0,17255921,0,4267944,1.80011494089183e-05,NA,NA,NA,NA
"R22131","R22131","PASS","PASS","FAIL/PASS","PASS","FAIL","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.173193077628043,1.0366001278234,4.41581500217426,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.167672907898827,0.990991658394204,4.30148887069051,FALSE,139035580,105958671,33076909,0.7621,0.7199,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22131_sorted.bam",123349577,2776215,0.0220114772401191,0.432085818843072,30802183,0,0,0,0,0,0,0,23418625,0,0,12154930,0,4911450,9.57724327525747e-06,NA,NA,NA,NA
"R22132","R22132","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","FAIL/WARN","WARN","PASS","NA","101","48","41.0","41.0","39.0","39.0",NA,NA,0.0186941298754791,0.17504063896232,1.33950456036717,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0256632336076922,0.212044083414459,1.51248199730428,FALSE,101347322,89082568,12264754,0.879,0.8228,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22132_sorted.bam",104568026,3489318,0.0322913544867436,0.37935120170958,23906322,0,0,0,0,0,0,0,22430919,0,0,12962547,0,3719182,1.25489818132626e-05,NA,NA,NA,NA
"R22133","R22133","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0663225318420272,0.600622395476537,3.36717248005532,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0664615367909631,0.588134027328896,3.28148328812184,FALSE,122297804,106099616,16198188,0.8676,0.821,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22133_sorted.bam",120676273,2463167,0.0200030713149256,0.498573186808567,33968566,0,0,0,0,0,0,0,19209800,0,0,10113876,0,4839312,3.02338344220948e-05,NA,NA,NA,NA
"R22135","R22135","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL/WARN","PASS","PASS","FAIL","WARN","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0725252177096424,0.829170623665204,4.61277583432816,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0746274939358273,0.816140846894661,4.51777655509997,FALSE,166058102,125623220,40434882,0.7565,0.7099,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22135_sorted.bam",151665991,3668816,0.0236187630503188,0.364374624035301,33887720,0,0,0,0,0,0,0,37673918,0,0,16908121,0,4532656,2.93911776891452e-05,NA,NA,NA,NA
"R22136","R22136","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL/WARN","PASS","PASS","FAIL","FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.152385232382919,1.01558810617117,4.48324463982724,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.151657737989297,0.997264294782805,4.37378676775947,FALSE,134846400,108933076,25913324,0.8078,0.761,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22136_sorted.bam",122954538,2176757,0.0173957841641453,0.411810012550734,28072316,0,0,0,0,0,0,0,17405531,0,0,18451867,0,4238410,1.39639351452157e-05,NA,NA,NA,NA
"R22137","R22137","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL/WARN","PASS","PASS","WARN","WARN/FAIL","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0966366706663721,0.90287524564821,4.81394168482807,"101","47","41.0","41.0","41.0","41.0",NA,NA,0.0984787711447175,0.890971881470104,4.7252914281866,FALSE,150806106,131639254,19166852,0.8729,0.8199,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22137_sorted.bam",153004207,2914059,0.0186896575671256,0.340481376360421,29606840,0,0,0,0,0,0,0,26450219,0,0,27422538,0,3476231,1.9623843679366e-05,NA,NA,NA,NA
"R22138","R22138","PASS","PASS","WARN/PASS","PASS","FAIL/WARN","FAIL/WARN","PASS","PASS","FAIL/WARN","FAIL","PASS","NA","101","46","41.0","41.0","41.0","41.0",NA,NA,0.027519788590992,0.189304250881409,1.40623548451128,"101","47","41.0","41.0","41.0","41.0",NA,NA,0.0277639179936105,0.183201015815947,1.3398657039515,FALSE,107729752,92522949,15206803,0.8588,0.8136,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22138_sorted.bam",101529943,1383540,0.0134437195172959,0.487882094923832,26862633,0,0,0,0,0,0,0,10815968,0,0,14388636,0,2992445,7.63141870716843e-06,NA,NA,NA,NA
"R22139","R22139","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL","WARN","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0382537644143804,0.204167440120531,1.23342384958053,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0399823027579687,0.208089361157746,1.23460871507416,FALSE,123051942,111824012,11227930,0.9088,0.8745,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22139_sorted.bam",135304466,3348783,0.0241522144208824,0.36769003975985,30238181,0,0,0,0,0,0,0,33473465,0,0,14730839,0,3795753,8.06926845235829e-06,NA,NA,NA,NA
"R22140","R22140","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL/WARN","PASS","PASS","WARN","WARN","PASS","NA","101","46","41.0","41.0","41.0","41.0",NA,NA,0.0541913119667814,0.355771133326881,2.16026740201379,"101","46","41.0","41.0","41.0","41.0",NA,NA,0.0567635521269136,0.358348708240197,2.14635436571038,FALSE,112470058,102949184,9520874,0.9153,0.8763,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22140_sorted.bam",114538387,1583283,0.0136346902348201,0.377792206592602,23844728,0,0,0,0,0,0,0,14429223,0,0,22193413,0,2648623,2.06754298056996e-05,NA,NA,NA,NA
"R22141","R22141","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","FAIL/WARN","WARN","PASS","NA","101","47","41.0","41.0","39.0","39.0",NA,NA,0.0188427881267072,0.177807428092063,1.33238604397691,"101","48","41.0","41.0","39.0","41.0",NA,NA,0.0282393116993727,0.213216977621909,1.49544451743975,FALSE,132687370,116712245,15975125,0.8796,0.8093,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22141_sorted.bam",128904944,2332485,0.0177730165683145,0.485932763991025,35556403,0,0,0,0,0,0,0,16405181,0,0,16240012,0,4969850,8.09980694616382e-06,NA,NA,NA,NA
"R22142","R22142","PASS","PASS","FAIL","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","FAIL/WARN","WARN","PASS","NA","101","47","41.0","41.0","39.0","39.0",NA,NA,0.0226020272265257,0.213799177801379,1.51220819631095,"101","48","41.0","41.0","39.0","41.0",NA,NA,0.030671883320207,0.24706676711844,1.6850094035478,FALSE,105751576,93175931,12575645,0.8811,0.8209,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22142_sorted.bam",102983758,2164214,0.0205825557909952,0.517804223922599,29960010,0,0,0,0,0,0,0,13083974,0,0,10728311,0,4087430,5.94125302361381e-06,NA,NA,NA,NA
"R22143","R22143","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","FAIL/WARN","WARN","PASS","NA","101","47","41.0","41.0","39.0","39.0",NA,NA,0.0194542043301161,0.142099660050082,0.972926452922291,"101","48","41.0","41.0","39.0","41.0",NA,NA,0.0298325418709991,0.180293680175468,1.12050881762594,FALSE,98965754,87030990,11934764,0.8794,0.8132,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22143_sorted.bam",96842018,1792553,0.0181736786790506,0.508217053901648,28302346,0,0,0,0,0,0,0,13727037,0,0,10461051,0,3199051,6.0419019681266e-06,NA,NA,NA,NA
"R22144","R22144","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","PASS","NA","101","49","41.0","41.0","39.0","41.0",NA,NA,0.0638397901096421,0.276047217162845,1.67399015593584,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.0673399819735865,0.282472459981636,1.6769679565007,FALSE,117536414,105821337,11715077,0.9003,0.8639,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22144_sorted.bam",124205945,2834358,0.0223106993061879,0.403849240398664,28473129,0,0,0,0,0,0,0,22810151,0,0,13886198,0,5334874,1.73848121855522e-05,NA,NA,NA,NA
"R22145","R22145","PASS","PASS","PASS","PASS","FAIL/WARN","WARN","PASS","PASS","WARN","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.159905578249981,0.951467938710138,4.74833635489435,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.165336298866943,0.955894260343884,4.73292277559354,FALSE,140681146,123252589,17428557,0.8761,0.8341,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22145_sorted.bam",145347410,2204637,0.0149414192810216,0.290372287478764,24890531,0,0,0,0,0,0,0,30202965,0,0,28312723,0,2313156,3.14577459195226e-05,NA,NA,NA,NA
"R22146","R22146","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","WARN","PASS","NA","101","48","41.0","41.0","39.0","39.0",NA,NA,0.018488977111639,0.148957592001503,1.06833076175464,"101","48","41.0","41.0","39.0","41.0",NA,NA,0.0251782612522287,0.174033726778303,1.18866434522295,FALSE,97917802,87580238,10337564,0.8944,0.8368,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22146_sorted.bam",99841945,2268536,0.0222164852988989,0.403291091348304,23313916,0,0,0,0,0,0,0,16741871,0,0,14457430,0,3295935,1.05087450774036e-05,NA,NA,NA,NA
"R22147","R22147","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","PASS","NA","101","49","41.0","41.0","39.0","39.0",NA,NA,0.0160288298255403,0.128821881007823,0.944021941621663,"101","50","41.0","41.0","39.0","41.0",NA,NA,0.021783098816375,0.148925042232914,1.04086064297014,FALSE,108754040,97002888,11751152,0.8919,0.8349,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22147_sorted.bam",114931211,2944337,0.0249783525926853,0.443422824555237,30285116,0,0,0,0,0,0,0,23995792,0,0,8957348,0,5060249,2.45995425607747e-05,NA,NA,NA,NA
"R22148","R22148","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL/WARN","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.115203044721989,0.760268884360756,3.72492071927418,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.117170410242198,0.76252739325004,3.71309743478446,FALSE,104759384,91588530,13170854,0.8743,0.8339,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22148_sorted.bam",113276580,3313723,0.0284219434612843,0.306636870290239,21510551,0,0,0,0,0,0,0,30751870,0,0,14932008,0,2955488,1.99901899305136e-05,NA,NA,NA,NA
"R22149","R22149","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0482146623644895,0.192840368470053,1.10920760057281,"101","47","41.0","41.0","41.0","41.0",NA,NA,0.0523452034738418,0.197945574881938,1.10482208779004,FALSE,103933114,94895412,9037702,0.913,0.8823,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22149_sorted.bam",107813116,1921556,0.0175109285422569,0.363389212251175,22495212,0,0,0,0,0,0,0,18039354,0,0,19106294,0,2263047,1.36918025044618e-05,NA,NA,NA,NA
"R22150","R22150","PASS","PASS","PASS/WARN","PASS","FAIL/WARN","WARN","PASS","PASS","WARN","WARN","PASS","NA","101","46","41.0","41.0","39.0","41.0",NA,NA,0.0646438142818057,0.28075661154295,1.72907309011055,"101","46","41.0","41.0","41.0","41.0",NA,NA,0.0672208760592616,0.284050146501091,1.72297918825606,FALSE,115984802,106731694,9253108,0.9202,0.8838,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22150_sorted.bam",117726324,1476172,0.0123837339781878,0.368331633037742,23659027,0,0,0,0,0,0,0,13494414,0,0,24874427,0,2205081,2.11335825433565e-05,NA,NA,NA,NA
"R22151","R22151","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","FAIL/WARN","WARN","PASS","NA","101","48","41.0","41.0","39.0","39.0",NA,NA,0.0399284010665448,0.398990512071936,2.4941258629682,"101","49","41.0","41.0","39.0","41.0",NA,NA,0.0538264796794554,0.47387527367533,2.83360396551277,FALSE,103237292,89348850,13888442,0.8655,0.7923,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22151_sorted.bam",101755019,1665159,0.0161009102111582,0.449495381237391,26821967,0,0,0,0,0,0,0,17289670,0,0,12139395,0,3420253,8.27679789480018e-06,NA,NA,NA,NA
