"","SAMPLE_ID","basic_statistics","per_base_sequence_quality","per_tile_sequence_quality","per_sequence_quality_scores","per_base_sequence_content","per_sequence_gc_content","per_base_n_content","sequence_length_distribution","sequence_duplication_levels","overrepresented_sequences","adapter_content","kmer_content","SeqLength_R1","percentGC_R1","phred20.21_R1","phred48.49_R1","phred76.77_R1","phred100.101_R1","phredGT30_R1","phredGT35_R1","Adapter50.51_R1","Adapter70.71_R1","Adapter90_R1","SeqLength_R2","percentGC_R2","phred20.21_R2","phred48.49_R2","phred76.77_R2","phred100.101_R2","phredGT30_R2","phredGT35_R2","Adapter50.51_R2","Adapter70.71_R2","Adapter90_R2","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","bamFile","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Unmapped","gene_Unassigned_Read_Type","gene_Unassigned_Singleton","gene_Unassigned_MappingQuality","gene_Unassigned_Chimera","gene_Unassigned_FragmentLength","gene_Unassigned_Duplicate","gene_Unassigned_MultiMapping","gene_Unassigned_Secondary","gene_Unassigned_NonSplit","gene_Unassigned_NoFeatures","gene_Unassigned_Overlapping_Length","gene_Unassigned_Ambiguity","rRNA_rate","Adapter88.89_R1","Adapter88.89_R2","ERCCsumLogErr","gene_Unassigned_Nonjunction"
"R22117","R22117","PASS","PASS","WARN/PASS","PASS","FAIL/WARN","WARN","PASS/WARN","PASS","WARN","FAIL","PASS","NA","101","45","41.0","41.0","41.0","41.0",NA,NA,0.044139562599721,0.270694470333241,1.79431978318552,"101","46","41.0","41.0","41.0","41.0",NA,NA,0.0457299870608931,0.264997210614773,1.71949718123023,FALSE,151406122,124443978,26962144,0.8219,0.7767,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22117_sorted.bam",137421977,2270067,0.0162505103010734,0.358859708121539,27353103,0,0,0,0,0,0,0,16873858,0,0,29568623,0,2426690,2.46407144374077e-05,NA,NA,NA,NA
"R22118","R22118","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","WARN","PASS","NA","101","47","41.0","41.0","39.0","41.0",NA,NA,0.0124436152610072,0.11507831100896,0.905967230780017,"101","47","41.0","41.0","39.0","41.0",NA,NA,0.0188256276319126,0.137693356650767,1.01896916270259,FALSE,95502792,85477574,10025218,0.895,0.8303,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22118_sorted.bam",93269570,1876642,0.0197237699804591,0.478756299794389,24829929,0,0,0,0,0,0,0,10122706,0,0,13503580,0,3407184,8.49780923658702e-06,NA,NA,NA,NA
"R22119","R22119","PASS","PASS","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.17614586650242,0.887384427440274,3.89073816698589,"101","47","41.0","41.0","41.0","41.0",NA,NA,0.179538482345137,0.892092412911741,3.8853778504274,FALSE,121410740,106526709,14884031,0.8774,0.8354,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22119_sorted.bam",120710514,1762105,0.0143877465378608,0.453491963651054,30151166,0,0,0,0,0,0,0,16904364,0,0,15887686,0,3543444,1.39298095470006e-05,NA,NA,NA,NA
"R22120","R22120","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","WARN","PASS","PASS","WARN","WARN","PASS","NA","101","46","41.0","41.0","41.0","41.0",NA,NA,0.0286919250169051,0.130582439012172,0.838345440920592,"101","46","41.0","41.0","41.0","41.0",NA,NA,0.0314908140884612,0.135124782494347,0.841302424389058,FALSE,113223494,104308627,8914867,0.9213,0.8914,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22120_sorted.bam",114256412,1592320,0.0137448202713173,0.467759269058955,29101504,0,0,0,0,0,0,0,12528640,0,0,18210837,0,2373722,1.06523704066979e-05,NA,NA,NA,NA
"R22121","R22121","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL/WARN","PASS/WARN","PASS","FAIL","FAIL","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0218890375704206,0.100262172620215,0.634615362868427,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0224624323484774,0.0990088229726044,0.603469370410794,FALSE,137950332,115483425,22466907,0.8371,0.7993,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22121_sorted.bam",128484031,2042273,0.0156464477841953,0.506005278376054,35760655,0,0,0,0,0,0,0,16011641,0,0,13936634,0,4963564,7.01888709812502e-06,NA,NA,NA,NA
"R22122","R22122","PASS","PASS","WARN/PASS","PASS","FAIL","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0197806135836273,0.130421428663433,0.951438845621694,"101","48","41.0","41.0","39.0","39.0",NA,NA,0.0199176849913199,0.121433172679596,0.868972252090687,FALSE,99218358,74241888,24976470,0.7483,0.6969,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22122_sorted.bam",84435571,1332577,0.015536968339342,0.428506841641493,20520741,0,0,0,0,0,0,0,12780343,0,0,10952834,0,3635028,8.86907543933233e-06,NA,NA,NA,NA
"R22123","R22123","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0555024480021465,0.252805018210179,1.62358558992495,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0586197721698125,0.258719656893342,1.62163555147426,FALSE,153432872,135521797,17911075,0.8833,0.8447,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22123_sorted.bam",152184144,2382857,0.0154163371520678,0.49490060080086,40904860,0,0,0,0,0,0,0,18808558,0,0,17398980,0,5540280,1.02677285779734e-05,NA,NA,NA,NA
"R22124","R22124","PASS","PASS","PASS/FAIL","PASS","FAIL/WARN","WARN","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","NA","101","46","41.0","41.0","39.0","41.0",NA,NA,0.0439890085142209,0.17069330410568,1.0356138914578,"101","47","41.0","41.0","39.0","39.0",NA,NA,0.045807842433678,0.166713025245396,0.989842556755903,FALSE,106826686,83394651,23432035,0.7807,0.7098,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22124_sorted.bam",95915355,1615525,0.0165642409870597,0.316355246878888,18187036,0,0,0,0,0,0,0,17515606,0,0,19849744,0,1936896,2.42480412971086e-05,NA,NA,NA,NA
"R22125","R22125","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","WARN","PASS","NA","101","46","41.0","41.0","41.0","41.0",NA,NA,0.0454615365536569,0.249146321719153,1.71865505872941,"101","47","41.0","41.0","41.0","41.0",NA,NA,0.0492560237982141,0.256300530042324,1.72393552430413,FALSE,110634184,100391531,10242653,0.9074,0.8684,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22125_sorted.bam",111372933,1535607,0.0136004504176566,0.474736870746692,28771025,0,0,0,0,0,0,0,12959640,0,0,15304949,0,3568537,1.06009431363672e-05,NA,NA,NA,NA
"R22126","R22126","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","WARN","PASS","PASS","WARN","WARN","PASS","NA","101","46","41.0","41.0","41.0","41.0",NA,NA,0.0432933881705678,0.329491447564134,2.4091697074084,"101","46","41.0","41.0","41.0","41.0",NA,NA,0.0450966815188666,0.33076311674275,2.39369974612983,FALSE,132424378,120128821,12295557,0.9072,0.868,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22126_sorted.bam",134413019,2002163,0.0146769807483745,0.367779770358279,27424916,0,0,0,0,0,0,0,17940300,0,0,26807093,0,2396545,1.57156361025864e-05,NA,NA,NA,NA
