"","Astro","Endo","Macro","Micro","Mural","Oligo","OPC","Tcell","Excit","Inhib"
"R18963",0.0960185812776604,0.00686220659620057,0.0107607274701174,0.0617176692487891,0.00851063378922158,0.173896407931872,0.0337230378995592,0.0220901275966701,0.181634481168144,0.404786127021765
"R18964",0.0546577477044113,0,0,0,0,0.209531455102415,0.000841655222428947,0,0,0.734969141970745
"R18965",0.0741502870913621,0.00304547928790481,0.00292453953051437,0.0379219657978873,0.00282772079116801,0.231027329682434,0.0259845363109502,0.00799141341303174,0.165958019348109,0.448168708746637
"R18966",0.0949171056924724,0.00282113533392719,0.00171356684650287,0.0516309582774015,0,0.180342414002607,0.0380522177237472,0.0111979457075019,0.190141532068974,0.429183124346866
"R18967",0,0,0,0,0,0.510430048119631,0.0177405779180054,0,0,0.471829373962363
"R18968",0.026360555177034,0,0,0,0,0.540772605688818,0.130182427340464,0,0.0270418670292425,0.275642544764441
"R18969",0.11090655335172,0,0,0.0877876481462864,0,0.132395971944137,0.0470047263912208,0,0.109029759421191,0.512875340745444
"R18970",0.0587399476310412,0.00328716102445184,0.0027208867640981,0.07142957253162,0.00855878087140841,0.21333680828255,0.0143247034498637,0.00531171995867925,0.0376873604708426,0.584603059015445
"R18971",0.0790795880637288,0.000564404048084693,0.000892074560330205,0.0681655489162,0.0140063207627082,0.321718783440551,0.0606955443096537,0.00334145186770748,0.0689668012317151,0.38256948279932
"R18972",0.0708425507594015,0.00636166172596658,0.0100918168477327,0.050213812361264,0.0106151934512446,0.221996154403721,0.0170002772407336,0.0245229738484748,0.16995268554807,0.41840287381339
"R18973",0.0631345361251808,0,0,0.0234966509965161,0,0.337792360803232,0.0506728847866733,0,0.0104621648364312,0.514441402451966
"R18974",0.0249219529846114,0,0,0,0,0.670940694977982,0.117157053149894,0,0,0.186980298887512
"R18975",0.065991654282531,0,0,0.0505428482163834,0,0.402550981692357,0.0291606746783087,0,0.113877894198129,0.337875946932291
"R18976",0.0735167704057442,0,0,0.0518880111171148,0.00366620257764297,0.363015841428131,0.0573745383977996,0,0.0797903830549547,0.370748253018612
"R18977",0.0429994839032688,0,0,0.0459723620468362,0,0.55358278429269,0.0766908644410589,0,0.0316392040876899,0.249115301228456
