"","SAMPLE_ID","SeqLength_R1","percentGC_R1","phred20.21_R1","phred48.49_R1","phred76.77_R1","phred100.101_R1","phredGT30_R1","phredGT35_R1","Adapter50.51_R1","Adapter70.71_R1","Adapter88.89_R1","SeqLength_R2","percentGC_R2","phred20.21_R2","phred48.49_R2","phred76.77_R2","phred100.101_R2","phredGT30_R2","phredGT35_R2","Adapter50.51_R2","Adapter70.71_R2","Adapter88.89_R2","ERCCsumLogErr","bamFile","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Ambiguity","gene_Unassigned_MultiMapping","gene_Unassigned_NoFeatures","gene_Unassigned_Unmapped","gene_Unassigned_MappingQuality","gene_Unassigned_FragmentLength","gene_Unassigned_Chimera","gene_Unassigned_Secondary","gene_Unassigned_Nonjunction","gene_Unassigned_Duplicate","rRNA_rate","basic_statistics","per_base_sequence_quality","per_tile_sequence_quality","per_sequence_quality_scores","per_base_sequence_content","per_sequence_gc_content","per_base_n_content","sequence_length_distribution","sequence_duplication_levels","overrepresented_sequences","adapter_content","kmer_content","Adapter90_R1","Adapter90_R2","gene_Unassigned_Read_Type","gene_Unassigned_Singleton","gene_Unassigned_NonSplit","gene_Unassigned_Overlapping_Length"
"R18963","R18963","101","47","41.0","41.0","41.0","41.0",0.976758545175673,0.886124880489454,0.201814768675359,1.51308177129869,7.10079101428964,"101","47","41.0","41.0","41.0","39.0",0.919397498666919,0.813508580459085,0.209660007940827,1.50870051878972,7.02261749101715,-2.08028287706795,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18963_accepted_hits.sorted.bam",FALSE,116542016,97200219,19341797,0.834,0.752,102386232,2183975,0.0208852508057099,0.46607671472513,25482358,3039875,7413096,18738842,0,0,0,0,0,0,0,0.000175454720477595,"PASS","PASS","PASS/WARN","PASS","FAIL/WARN","FAIL/WARN","PASS","PASS","WARN","FAIL","WARN","FAIL",NA,NA,NA,NA,NA,NA
"R18964","R18964","101","48","41.0","41.0","41.0","41.0",0.974037905210804,0.881426865109607,0.202972296281445,1.05629423692538,4.81282560523073,"101","48","41.0","41.0","41.0","41.0",0.935967343074718,0.846621005329398,0.215697499528272,1.06909016676624,4.79667388462579,-13.172121641605,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18964_accepted_hits.sorted.bam",FALSE,53728022,42415273,11312749,0.7894,0.7279,43931963,1339255,0.0295829239672765,0.375819363523103,8906327,886586,2974131,10931381,0,0,0,0,0,0,0,0.000188180829201533,"PASS","PASS","PASS/WARN","PASS","FAIL/WARN","WARN","PASS","PASS","WARN","FAIL","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18965","R18965","101","47","41.0","41.0","41.0","41.0",0.975839225832766,0.885239324380046,0.188440281379818,1.64949595289627,7.66759035408301,"101","48","37.0","37.0","32.0","29.5",0.609064102329258,0.365255418632534,0.168919502107318,1.38713861461929,6.36965204700231,-9.69791033298705,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18965_accepted_hits.sorted.bam",FALSE,90949238,65751042,25198196,0.7229,0.5921,69212864,1630788,0.0230195360340825,0.436960990604084,17808738,1908564,5709990,15328607,0,0,0,0,0,0,0,0.000183617727432455,"PASS","PASS","PASS","PASS","FAIL/WARN","WARN","PASS","PASS","WARN","FAIL","WARN","FAIL",NA,NA,NA,NA,NA,NA
"R18966","R18966","101","45","41.0","41.0","41.0","41.0",0.971539501745385,0.871591397076551,0.0896455162545315,0.346253673442778,1.19387702886785,"101","46","41.0","41.0","39.0","39.0",0.908079280241103,0.787183914899086,0.0954823479721258,0.354187028247479,1.20046958402382,-31.5513468478524,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18966_accepted_hits.sorted.bam",FALSE,86142624,76879292,9263332,0.8925,0.8472,78628503,1888545,0.0234552190736054,0.477291089081677,19989735,1662388,3829925,16399595,0,0,0,0,0,0,0,2.53630175687672e-05,"PASS","PASS","WARN","PASS","FAIL/WARN","WARN","PASS","PASS","WARN","WARN","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18967","R18967","101","46","41.0","41.0","41.0","41.0",0.96799352656251,0.862263347821551,0.0632014306772826,0.154037529143464,0.387333381139482,"101","46","41.0","41.0","39.0","39.0",0.917925361851556,0.804739375033286,0.0708625386225947,0.165363587800549,0.400034850152414,-22.132608579394,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18967_accepted_hits.sorted.bam",FALSE,83029766,71958041,11071725,0.8667,0.8352,72766259,2434910,0.032378619007904,0.387942021002041,15194877,1228503,3632688,19111839,0,0,0,0,0,0,0,2.21127160160625e-05,"PASS","PASS","WARN","PASS","FAIL/WARN","WARN","PASS","PASS","WARN","WARN","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18968","R18968","101","45","41.0","41.0","41.0","41.0",0.970848228036048,0.879366049982658,0.036323428614851,0.115370984709899,0.386577545524674,"101","46","37.0","37.0","34.5","29.5",0.633822410692147,0.406945752826847,0.0387651306037881,0.113902342827767,0.362570116052353,-24.8903698837452,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18968_accepted_hits.sorted.bam",FALSE,88380974,73675385,14705589,0.8336,0.7248,76005048,1610883,0.0207545407140707,0.446620414589165,19582307,1706438,4346245,18210536,0,0,0,0,0,0,0,1.78732771373669e-05,"PASS","PASS","WARN","PASS","FAIL/WARN","WARN","PASS","PASS","WARN/PASS","WARN","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18969","R18969","101","48","41.0","41.0","41.0","41.0",0.968201084883757,0.861279496847824,0.0867574842050287,0.501659744948868,2.56399595387428,"101","49","41.0","41.0","39.0","39.0",0.882792363001044,0.740521790632458,0.0905950980403223,0.503859577609555,2.50940785503347,-16.5180450570751,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18969_accepted_hits.sorted.bam",FALSE,86824786,69870581,16954205,0.8047,0.7438,71652610,2662371,0.0358254952658872,0.448206155340301,17728963,2179713,5155463,14491237,0,0,0,0,0,0,0,9.4929410140909e-05,"PASS","PASS","WARN","PASS","FAIL/WARN","FAIL/WARN","PASS","PASS","WARN","WARN","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18970","R18970","101","49","41.0","41.0","41.0","41.0",0.976892747591214,0.880115546772404,0.201151692040704,1.12936079481493,4.55012335793103,"101","50","41.0","41.0","41.0","41.0",0.922050564969055,0.808453006687576,0.203008857537866,1.12270054573711,4.50290166896569,-5.16846185096586,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18970_accepted_hits.sorted.bam",FALSE,198851422,162183236,36668186,0.8156,0.758,173555679,3845803,0.0216785280294333,0.432335289920664,40112472,7749696,15760728,29158038,0,0,0,0,0,0,0,0.000182561673087612,"PASS","PASS","WARN/PASS","PASS","WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18971","R18971","101","50","41.0","41.0","41.0","41.0",0.975432844613848,0.806039188532369,0.631443486225226,2.64341659421105,8.58670967199086,"101","50","41.0","41.0","41.0","39.0",0.930634725532884,0.779922627181552,0.633160175681295,2.61812808841494,8.46043869834311,-1.61153588293467,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18971_accepted_hits.sorted.bam",FALSE,176036498,122166995,53869503,0.694,0.6252,131173368,2496840,0.0186791061176474,0.428479493522642,30460848,5082559,13012379,22534776,0,0,0,0,0,0,0,0.000247596521278725,"PASS","PASS","WARN/PASS","PASS","WARN/FAIL","FAIL","PASS","PASS","FAIL","FAIL","WARN","FAIL",NA,NA,NA,NA,NA,NA
"R18972","R18972","101","47","41.0","41.0","41.0","41.0",0.970572247163438,0.865913574608047,0.0484735415287351,0.218800287586531,1.04855670835411,"101","48","41.0","41.0","39.0","37.0",0.845420566018018,0.681696002495339,0.0540793537017311,0.223351872395651,1.02698479009287,-19.411074291898,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18972_accepted_hits.sorted.bam",FALSE,47807524,41843683,5963841,0.8753,0.8053,43520184,1021075,0.0229242509736871,0.552225249543065,13091842,1746350,2891211,5978028,0,0,0,0,0,0,0,2.74980403827055e-05,"PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","WARN","PASS","FAIL",NA,NA,NA,NA,NA,NA
