"","SAMPLE_ID","SeqLength_R1","percentGC_R1","phred20.21_R1","phred48.49_R1","phred76.77_R1","phred100.101_R1","phredGT30_R1","phredGT35_R1","Adapter50.51_R1","Adapter70.71_R1","Adapter88.89_R1","SeqLength_R2","percentGC_R2","phred20.21_R2","phred48.49_R2","phred76.77_R2","phred100.101_R2","phredGT30_R2","phredGT35_R2","Adapter50.51_R2","Adapter70.71_R2","Adapter88.89_R2","ERCCsumLogErr","bamFile","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Ambiguity","gene_Unassigned_MultiMapping","gene_Unassigned_NoFeatures","gene_Unassigned_Unmapped","gene_Unassigned_MappingQuality","gene_Unassigned_FragmentLength","gene_Unassigned_Chimera","gene_Unassigned_Secondary","gene_Unassigned_Nonjunction","gene_Unassigned_Duplicate","rRNA_rate","basic_statistics","per_base_sequence_quality","per_tile_sequence_quality","per_sequence_quality_scores","per_base_sequence_content","per_sequence_gc_content","per_base_n_content","sequence_length_distribution","sequence_duplication_levels","overrepresented_sequences","adapter_content","kmer_content","Adapter90_R1","Adapter90_R2","gene_Unassigned_Read_Type","gene_Unassigned_Singleton","gene_Unassigned_NonSplit","gene_Unassigned_Overlapping_Length"
"R18973","R18973","101","46","41.0","41.0","41.0","41.0",0.970288675046106,0.874705805655073,0.0828542599556256,0.364086967077464,1.61906072822478,"101","47","37.0","32.0","29.5","27.0",0.52292842227938,0.278381269026597,0.0780900483417146,0.310991307526022,1.3251597159777,-17.0792341881554,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18973_accepted_hits.sorted.bam",FALSE,81818364,61718661,20099703,0.7543,0.6117,63399347,1727040,0.02651828359525,0.398891759689782,15405617,1193743,4282106,17739580,0,0,0,0,0,0,0,4.04397954330554e-05,"PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","WARN","PASS","PASS","WARN/PASS","WARN","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18974","R18974","101","46","41.0","41.0","41.0","41.0",0.970145577766606,0.867063905245001,0.0977319368814255,0.538194596268083,2.50423498672339,"101","46","41.0","41.0","39.0","39.0",0.905595185614204,0.776017744281675,0.106438653585525,0.549732128227116,2.49688357726134,-26.2933742967873,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18974_accepted_hits.sorted.bam",FALSE,57403958,48874159,8529799,0.8514,0.7938,50453605,1243872,0.0240605939048051,0.370123775424959,10072296,909043,3058229,13173750,0,0,0,0,0,0,0,5.97679019758752e-05,"PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","WARN","PASS","PASS","WARN","FAIL","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18975","R18975","101","47","41.0","41.0","41.0","41.0",0.976435255510619,0.890380004337261,0.0661704010089319,0.379588394912067,2.17828020188518,"101","47","41.0","41.0","39.0","39.0",0.875163272191784,0.737794942397913,0.0662395600693369,0.368164306119737,2.09814065866101,-10.1052036726686,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18975_accepted_hits.sorted.bam",FALSE,101215950,88176716,13039234,0.8712,0.8113,92794299,1820520,0.019241383318611,0.486205822639953,24154609,3100864,6476775,15947554,0,0,0,0,0,0,0,8.30897324812834e-05,"PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","FAIL/WARN","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18976","R18976","101","46","41.0","41.0","41.0","41.0",0.978429129764313,0.894554276569574,0.061746788132315,0.268164350588503,1.40991294073513,"101","47","41.0","41.0","39.0","39.0",0.898902099395209,0.771314213361407,0.0619949842758367,0.261001961433452,1.36010052627731,-15.5171737271397,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18976_accepted_hits.sorted.bam",FALSE,90654108,79790374,10863734,0.8802,0.8257,82725643,1650081,0.0195563477476057,0.501116559619781,22060069,2652489,4699187,14610087,0,0,0,0,0,0,0,7.14412996622993e-05,"PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL/WARN","PASS","PASS","WARN","FAIL","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18977","R18977","101","48","41.0","41.0","41.0","41.0",0.977335648824026,0.888505844938809,0.0933939624901699,0.371510458587623,1.61227485980282,"101","49","41.0","41.0","39.0","39.0",0.927982323522799,0.817375587290408,0.0974679964637332,0.371092101357425,1.58165427792571,-11.2691088310862,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18977_accepted_hits.sorted.bam",FALSE,75772564,65066752,10705812,0.8587,0.8119,68389042,1856264,0.026425452541982,0.470812769466152,17222970,2768114,5412044,11178229,0,0,0,0,0,0,0,0.000110085542737402,"PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","FAIL","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18978","R18978","101","50","41.0","41.0","41.0","41.0",0.974843344812934,0.827158185896767,0.236991458085452,1.18071325989912,5.41677693638314,"101","50","41.0","41.0","37.0","34.5",0.799705985923881,0.565451642379897,0.22742560529953,1.10302562776495,5.03278999058502,-12.1464987748619,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18978_accepted_hits.sorted.bam",FALSE,138523980,103032475,35491505,0.7438,0.6445,114258205,2740310,0.0234217502675141,0.440257863737564,28183812,5987699,14563258,15281832,0,0,0,0,0,0,0,0.000213313940640819,"PASS","PASS","PASS/WARN","PASS","WARN","FAIL","PASS","PASS","FAIL","FAIL","WARN","FAIL",NA,NA,NA,NA,NA,NA
"R18979","R18979","101","47","41.0","41.0","41.0","41.0",0.974208145413477,0.86461813592174,0.0932726925471062,0.393562806181104,1.96251053701748,"101","48","37.0","32.0","27.0","24.5",0.459088628313745,0.214481719800022,0.0688182018271417,0.271817546945895,1.34722484377592,-9.45610095253921,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18979_accepted_hits.sorted.bam",FALSE,98255982,69636632,28619350,0.7087,0.564,72634072,2084715,0.0279008142891827,0.453668295806946,20388810,2128170,6328282,16096847,0,0,0,0,0,0,0,9.38259761114062e-05,"PASS","PASS/WARN","PASS","PASS","FAIL/WARN","FAIL/WARN","PASS","PASS","WARN/PASS","FAIL/WARN","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18980","R18980","101","48","41.0","41.0","41.0","41.0",0.972805540243123,0.826881802587142,0.123517278474504,0.676246637488571,3.38922240370978,"101","48","41.0","41.0","39.0","37.0",0.873630938158347,0.680523811267051,0.121278262450653,0.647242721640941,3.2417040582849,-6.45675275648636,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18980_accepted_hits.sorted.bam",FALSE,131664980,103733877,27931103,0.7879,0.7089,111723369,2707033,0.0236565890942164,0.421925864666818,25666625,4750752,11268132,19146564,0,0,0,0,0,0,0,0.00014618205549035,"PASS","PASS","PASS/WARN","PASS","WARN","FAIL","PASS","PASS","FAIL/WARN","FAIL","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18981","R18981","101","46","41.0","41.0","41.0","41.0",0.967827800913411,0.848554670750256,0.0726209242310523,0.524348393762019,3.02588469114863,"101","46","41.0","41.0","41.0","39.0",0.90862767889911,0.777822430173112,0.0749721426573465,0.514638128508408,2.92354294282531,-15.1168683482461,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18981_accepted_hits.sorted.bam",FALSE,33727194,28446467,5280727,0.8434,0.7893,29301090,808599,0.0268551096625409,0.426728891813237,6669642,871944,1657342,6430766,0,0,0,0,0,0,0,0.000147534155506398,"PASS","PASS","PASS","PASS","FAIL/WARN","WARN","PASS","PASS","WARN","FAIL","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18982","R18982","101","47","41.0","41.0","41.0","41.0",0.962733448837832,0.807925216452711,0.127785570686211,0.781428720897034,3.62173281575023,"101","48","41.0","37.0","34.5","32.0",0.669920512333977,0.44671576494539,0.120703974501525,0.68665710237399,3.11184606808854,-10.3298577263668,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18982_accepted_hits.sorted.bam",FALSE,84585450,54700600,29884850,0.6467,0.5541,56435754,3542423,0.0590618651180412,0.39961662474615,13624325,1959997,6050145,12459022,0,0,0,0,0,0,0,0.000399506030573992,"PASS","PASS","PASS","PASS","WARN","FAIL","PASS","PASS","FAIL/WARN","FAIL","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18983","R18983","101","46","41.0","41.0","41.0","41.0",0.965915425535932,0.829259552780951,0.121391051531251,0.987836665619844,5.04718561783406,"101","46","41.0","41.0","41.0","39.0",0.928715573103879,0.79751127643096,0.12488694120762,0.968970815619052,4.88776692568225,-9.70704236597048,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18983_accepted_hits.sorted.bam",FALSE,68594842,54669419,13925423,0.797,0.7381,56805793,1924101,0.0327618674060607,0.408144203349918,12466710,1349951,4135847,12592358,0,0,0,0,0,0,0,0.000197967226317128,"PASS","PASS","PASS","PASS","FAIL/WARN","WARN","PASS","PASS","WARN","FAIL","WARN/PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18984","R18984","101","46","41.0","41.0","41.0","41.0",0.960086461376864,0.843798005243499,0.0478219160396851,0.165171719316425,0.63392258538063,"101","47","41.0","41.0","39.0","37.0",0.823872004601261,0.659253170558644,0.0539200195042211,0.172572585637541,0.624924620805989,-37.6197933055406,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18984_accepted_hits.sorted.bam",FALSE,98866804,88594752,10272052,0.8961,0.8262,92872714,2389056,0.0250788537731348,0.511499282453565,25975710,3410718,6537060,14859985,0,0,0,0,0,0,0,2.94505905709603e-05,"PASS","PASS","WARN/FAIL","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18985","R18985","101","46","41.0","41.0","41.0","41.0",0.964710633039776,0.857559997865327,0.0805562847195717,0.316103598900899,0.928422783826416,"101","46","41.0","41.0","39.0","37.0",0.850661081743238,0.68984223085418,0.089021909536959,0.324673230465475,0.916003154603303,-22.0969532909637,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18985_accepted_hits.sorted.bam",FALSE,114415654,99031786,15383868,0.8655,0.8009,102955000,2051045,0.019532637382924,0.456676160932146,25531912,2749421,5821109,21805692,0,0,0,0,0,0,0,2.74950031161004e-05,"PASS","PASS","FAIL","PASS","FAIL/WARN","FAIL/WARN","PASS","PASS","FAIL/WARN","WARN","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18986","R18986","101","46","41.0","41.0","41.0","41.0",0.965451737076604,0.858637453061649,0.0398376166638388,0.156293426122604,0.755114767601916,"101","46","41.0","41.0","39.0","39.0",0.861838410266014,0.709753298612115,0.0463320942181873,0.164857300200905,0.747935774490817,-20.8429396281053,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18986_accepted_hits.sorted.bam",FALSE,100947304,90925466,10021838,0.9007,0.8418,93788066,2959382,0.0305887344956117,0.561651258264725,28723489,3310312,5613587,13493758,0,0,0,0,0,0,0,3.54413769162931e-05,"PASS","PASS","WARN/FAIL","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","WARN","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18987","R18987","101","47","41.0","41.0","41.0","41.0",0.968997644666132,0.866624772618828,0.0582476166207294,0.350742589724955,1.9261447150321,"101","48","41.0","41.0","41.0","39.0",0.874533391907636,0.745880625515885,0.0607245427043783,0.349006598796778,1.87998518335385,-10.5473106814465,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18987_accepted_hits.sorted.bam",FALSE,233353754,190127093,43226661,0.8148,0.7664,201619509,4875228,0.0236094540269082,0.478514178942243,51757599,6322913,15770267,34312367,0,0,0,0,0,0,0,0.000102052647380339,"PASS","PASS","WARN/PASS","PASS","FAIL/WARN","FAIL/WARN","PASS","PASS","FAIL","FAIL","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18988","R18988","101","47","41.0","41.0","41.0","41.0",0.972227957805889,0.884026303595785,0.081324880460126,0.658552434431896,3.78057410373376,"101","48","41.0","41.0","41.0","41.0",0.912972665989125,0.812127607947542,0.0844223119410266,0.655740520378006,3.72394756221544,-13.5878265882033,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18988_accepted_hits.sorted.bam",FALSE,92463708,75791037,16672671,0.8197,0.7663,79349109,2249925,0.0275729367090302,0.470533125601862,20018374,2537979,5805407,14182267,0,0,0,0,0,0,0,0.000173940201137215,"PASS","PASS","WARN/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","WARN","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18989","R18989","101","47","41.0","41.0","41.0","41.0",0.972559397970877,0.879724609549326,0.0702760934563255,0.350074567542514,1.94221662843295,"101","47","41.0","41.0","41.0","41.0",0.909864975751199,0.806758362630426,0.0748055855667778,0.352846545523665,1.9182198864637,-12.0098815400751,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18989_accepted_hits.sorted.bam",FALSE,89899704,78685918,11213786,0.8753,0.8236,81611771,2641254,0.0313490702559344,0.523769588715951,22919062,2866490,5608742,12363615,0,0,0,0,0,0,0,7.49594376942651e-05,"PASS","PASS","WARN/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","WARN","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18990","R18990","101","47","41.0","41.0","41.0","41.0",0.97799248212852,0.895239026310729,0.0900517132010423,0.457136510317931,2.38974987419581,"101","48","41.0","41.0","39.0","39.0",0.913359527812308,0.796822710498208,0.0912716765446102,0.447849681642339,2.33476460522731,-9.03670496502124,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18990_accepted_hits.sorted.bam",FALSE,96642248,78453223,18189025,0.8118,0.7634,82212208,2666878,0.031419730415099,0.462267670973662,20552349,2841810,6551841,14513845,0,0,0,0,0,0,0,0.000137210593300065,"PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","FAIL","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18991","R18991","101","49","41.0","41.0","41.0","41.0",0.975101599244915,0.874090525021551,0.131933627769387,0.839074075068596,4.17277169184631,"101","50","41.0","41.0","39.0","37.0",0.850924813114907,0.68789933383046,0.133936055398448,0.817070330189535,4.04413418373354,-10.0728286645978,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18991_accepted_hits.sorted.bam",FALSE,100178402,70219497,29958905,0.7009,0.632,73957844,3555968,0.0458752822013192,0.443996204001659,18666563,3048545,8014155,12312905,0,0,0,0,0,0,0,0.000296465932159016,"PASS","PASS","WARN","PASS","WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18992","R18992","101","47","41.0","41.0","41.0","41.0",0.978392758127788,0.901921456939716,0.0612985875411566,0.290566044995626,1.47739516301247,"101","48","37.0","37.0","32.0","29.5",0.627172528623615,0.386287431355477,0.0548127345883411,0.245318145139738,1.24476516636915,-9.04623703559741,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18992_accepted_hits.sorted.bam",FALSE,119552510,92425309,27127201,0.7731,0.6617,97466818,3321335,0.032953625015829,0.468209285556458,26887842,3206618,8894669,18437844,0,0,0,0,0,0,0,8.5652095099339e-05,"PASS","PASS","WARN","PASS","FAIL/WARN","FAIL/WARN","PASS","PASS","FAIL/WARN","WARN","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18993","R18993","101","47","41.0","41.0","41.0","41.0",0.977988136848389,0.900034656611724,0.109463929984824,0.542658605163475,2.10040167136936,"101","47","41.0","41.0","41.0","41.0",0.9122352655569,0.812723631782307,0.114277027999101,0.546440479452878,2.08827056012931,-7.8654126814847,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18993_accepted_hits.sorted.bam",FALSE,138767172,119025231,19741941,0.8577,0.8018,124773813,2937831,0.0230036268266972,0.50402242484092,33494028,4681568,8532256,19745596,0,0,0,0,0,0,0,9.34494949368287e-05,"PASS","PASS","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","WARN","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18994","R18994","101","46","41.0","41.0","41.0","41.0",0.977176189398114,0.901021098061695,0.092845542638715,0.606893622192504,3.05044375502513,"101","46","41.0","41.0","41.0","39.0",0.902320476911627,0.803224197493234,0.100430306900647,0.61543888800607,3.04140555672754,-11.6974424630173,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18994_accepted_hits.sorted.bam",FALSE,90681790,76399685,14282105,0.8425,0.7785,79727432,1735108,0.0212994586223312,0.530400727717104,22585196,2501853,5000922,12493411,0,0,0,0,0,0,0,8.67382333099965e-05,"PASS","PASS","PASS/WARN","PASS","FAIL/WARN","WARN","PASS","PASS","FAIL/WARN","WARN","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18995","R18995","101","48","41.0","41.0","41.0","41.0",0.977949893158683,0.889809789674874,0.108709898997732,0.670717043570314,3.50837645968807,"101","48","41.0","41.0","41.0","41.0",0.914029288027524,0.81234018154302,0.114099624485188,0.667569886728816,3.46077486862814,-16.437652509064,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18995_accepted_hits.sorted.bam",FALSE,74066852,62080388,11986464,0.8382,0.7665,65540719,1602981,0.0238738854129278,0.541549311912716,19047289,2857908,5147308,8119341,0,0,0,0,0,0,0,0.000120594589602751,"PASS","PASS","PASS/WARN","PASS","WARN","FAIL","PASS","PASS","FAIL/WARN","FAIL","PASS","FAIL",NA,NA,NA,NA,NA,NA
"R18996","R18996","101","45","41.0","41.0","41.0","41.0",0.96535213560817,0.861645191722325,0.0664321281504094,0.231339160716209,0.986359596299251,"101","46","41.0","41.0","39.0","39.0",0.884151438878962,0.739429535333156,0.0731856872531631,0.239192748682987,0.970827555033952,-30.0463834465514,"/dcl02/lieber/ajaffe/kleinman_PTSD/preprocessed_data/HISAT2_out/R18996_accepted_hits.sorted.bam",FALSE,87361344,75141821,12219523,0.8601,0.8056,76142726,2312152,0.0294711056717213,0.364567105605406,15154044,1241516,3542947,21628721,0,0,0,0,0,0,0,5.68165170960306e-05,"PASS","PASS","WARN/FAIL","PASS","FAIL/WARN","WARN","PASS","PASS","WARN","WARN","PASS","FAIL",NA,NA,NA,NA,NA,NA
